60,致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006,(美国)
61,少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,塔布",2012,null
62,蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",2012,null
63,美丽心灵,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",2001,(美国)
64,夜访吸血鬼,"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",1994,(美国)
65,哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2011,null
66,大话西游之月光宝盒,"周星驰,莫文蔚,吴孟达",2014,null
67,钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002,(法国)
68,倩女幽魂,"张国荣,王祖贤,午马",2011,null
69,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简•林奇",2012,null
70,本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008,(美国)
71,初恋这件小事,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012,null
72,新龙门客栈,"张曼玉,Tony Leung,甄子丹",2012,null
73,触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011,(法国)
74,甜蜜蜜,"黎明,张曼玉,曾志伟",2015,null
75,熔炉,"孔刘,郑有美,金智英",2011,(韩国)
76,大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014,null
77,小鞋子,"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",1999,(美国)
78,时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013,(英国)
79,素媛,"李来,薛耿求,严志媛",2013,(韩国)
80,穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫•休里斯",2008,(英国)
81,萤火之森,"内山昂辉,佐仓绫音,后藤弘树",2011,(日本)
82,窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·戈黛特",2006,(德国)
83,地球上的星星,"塔奈·切赫达,阿米尔·汗,达席尔·萨法瑞",2007,(印度)
84,恐怖直播,"河正宇,李璟荣,李大为",2013,(韩国)
85,借东西的小人阿莉埃蒂,"志田未来,神木隆之介,大竹忍",2010,(日本)
86,7号房的礼物,"柳承龙,郑镇荣,朴信惠",2013,(韩国)
87,海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009,(美国)
88,忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",1987,(日本)
89,上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",2002,(巴西)
90,辩护人,"宋康昊,郭度沅,吴达洙",2013,(韩国)
91,七武士,"三船敏郎,志村乔,千秋实",1954,(日本)
92,完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",1993,(美国)
93,一一,"吴念真,Elaine Jin,李凯莉",2000,(法国)
94,海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",2011,null
95,爱·回家,"俞承豪,金艺芬,童孝熙",2002,(韩国)
96,黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",1966,(意大利)
97,我爱你,"宋在浩,李顺才,尹秀晶",2011,(韩国)
98,迁徙的鸟,"雅克·贝汉,Philippe Labro",2001,(法国)
99,英雄本色,"狄龙,张国荣,周润发",2017,null
100,龙猫,"日高法子,坂本千夏,糸井重里",2018,null
