13,十二怒汉,剧情 犯罪 悬疑 ,罗伯特·卡明斯 法兰奇·汤恩 爱德华·阿诺德 保罗·哈特曼 约翰·贝尔 沃尔特·艾贝尔 乔治·沃斯科维奇 约瑟夫·史威尼 巴特·伯恩斯 诺曼·费尔 李·飞利浦 Larkin Ford ,9.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153875961.jpg,美国 
14,控方证人,剧情 犯罪 悬疑 ,拉尔夫·理查德森 黛博拉·蔻儿 博·布里奇斯 黛安娜·里格 温蒂·希勒 唐纳德·普利森斯 彼得·萨利斯 弗兰克·米尔斯 ,9.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2367853261.jpg,美国 英国 
15,盗梦空间,剧情 科幻 悬疑 冒险 ,莱昂纳多·迪卡普里奥 约瑟夫·高登-莱维特 艾伦·佩吉 汤姆·哈迪 渡边谦 迪利普·劳 基里安·墨菲 汤姆·贝伦杰 玛丽昂·歌迪亚 皮特·波斯尔思韦特 迈克尔·凯恩 卢卡斯·哈斯 李太力 克莱尔·吉尔蕾 马格努斯·诺兰 泰勒·吉蕾 乔纳森·吉尔 水源士郎 冈本玉二 厄尔·卡梅伦 瑞恩·海沃德 米兰达·诺兰 拉什·费加 蒂姆·科勒赫 妲露拉·莱莉 ,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,美国 英国 
16,泰坦尼克号,剧情 爱情 灾难 ,莱昂纳多·迪卡普里奥 凯特·温丝莱特 比利·赞恩 凯西·贝茨 弗兰西丝·费舍 格劳瑞亚·斯图尔特 比尔·帕克斯顿 伯纳德·希尔 大卫·沃纳 维克多·加博 乔纳森·海德 苏茜·爱米斯 刘易斯·阿伯内西 尼古拉斯·卡斯柯恩 阿那托利·萨加洛维奇 丹尼·努齐 杰森·贝瑞 伊万·斯图尔特 艾恩·格拉法德 乔纳森·菲利普斯 马克·林赛·查普曼 理查德·格拉翰 保罗·布赖特威尔 艾瑞克·布里登 夏洛特·查顿 博纳德·福克斯 迈克尔·英塞恩 法妮·布雷特 马丁·贾维斯 罗莎琳·艾尔斯 罗切尔·罗斯 乔纳森·伊万斯-琼斯 西蒙·克雷恩 爱德华德·弗莱彻 斯科特·安德森 马丁·伊斯特 克雷格·凯利 格雷戈里·库克 利亚姆·图伊 詹姆斯·兰开斯特 艾尔莎·瑞雯 卢·帕尔特 泰瑞·佛瑞斯塔 凯文·德·拉·诺伊 ,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,美国 
17,千与千寻,剧情 动画 奇幻 ,柊瑠美 入野自由 夏木真理 菅原文太 中村彰男 玉井夕海 神木隆之介 内藤刚志 泽口靖子 我修院达也 大泉洋 小林郁夫 上条恒彦 小野武彦 ,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,日本 
18,忠犬八公的故事,剧情 ,理查·基尔 萨拉·罗默尔 琼·艾伦 罗比·萨布莱特 艾瑞克·阿瓦利 田川洋行 杰森·亚历山大 罗伯特·卡普荣 ,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,美国 英国 
19,巴黎圣母院,剧情 爱情 音乐 ,海伦娜·赛加拉 加劳 丹尼尔·拉沃伊 布鲁诺·佩尔蒂埃 帕特里克·费欧里 拉克·默维尔 朱丽叶·泽纳缇 ,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329626263.jpg,法国 
20,三傻大闹宝莱坞,剧情 喜剧 爱情 歌舞 ,阿米尔·汗 卡琳娜·卡普尔 马达范 沙尔曼·乔希 奥米·瓦依达 博曼·伊拉尼 莫娜·辛格 拉杰夫·拉宾德拉纳特安 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,印度 
21,海上钢琴师,剧情 音乐 ,蒂姆·罗斯 普路特·泰勒·文斯 比尔·努恩 梅兰尼·蒂埃里 阿尔贝托·巴斯克斯 ,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,意大利 
22,星际穿越,剧情 科幻 冒险 ,马修·麦康纳 安妮·海瑟薇 杰西卡·查斯坦 卡西·阿弗莱克 迈克尔·凯恩 马特·达蒙 麦肯吉·弗依 蒂莫西·柴勒梅德 艾伦·伯斯汀 约翰·利思戈 韦斯·本特利 大卫·吉雅西 比尔·欧文 托弗·戈瑞斯 科莱特·沃夫 弗朗西斯·X·麦卡蒂 安德鲁·博尔巴 乔什·斯图沃特 莱雅·卡里恩斯 利亚姆·迪金森 杰夫·赫普内尔 伊莱耶斯·加贝尔 布鲁克·史密斯 大卫·奥伊罗 威廉姆·德瓦内 拉什·费加 格里芬·弗雷泽 弗洛拉·诺兰 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,美国 英国 加拿大 冰岛 
23,放牛班的春天,剧情 音乐 ,热拉尔·朱尼奥 让-巴蒂斯特·莫尼耶 弗朗索瓦·贝莱昂 凯德·麦拉德 玛丽·布奈尔 马科森斯·珀林 让-保罗·博奈雷 格雷戈里·加迪诺尔 托马斯·布伦门塔尔 Cyril Bernicot Simon Fargeot Théodule Carré-Cassaigne 菲利普·杜·詹纳兰德 卡罗尔·韦斯 Erick Desmarestz 雅克·贝汉 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,法国 瑞士 德国 
24,触不可及,剧情 喜剧 ,弗朗索瓦·克鲁塞 奥玛·希 安娜·勒尼 奥德雷·弗勒罗 托马·索利韦尔 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,法国 
25,教父,剧情 犯罪 ,马龙·白兰度 阿尔·帕西诺 詹姆斯·肯恩 理查德·卡斯特尔诺 罗伯特·杜瓦尔 斯特林·海登 约翰·马利 理查德·康特 艾尔·勒提埃里 黛安·基顿 阿贝·维高达 塔莉娅·夏尔 吉亚尼·罗素 约翰·凯泽尔 鲁迪·邦德 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,美国 
26,熔炉,剧情 ,孔侑 郑有美 金志映 金贤秀 郑仁絮 白承焕 张光 严孝燮 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,韩国 
27,乱世佳人,剧情 历史 爱情 战争 ,费雯·丽 克拉克·盖博 奥利维娅·德哈维兰 托马斯·米切尔 芭芭拉·欧内尔 伊夫林·凯耶斯 安·卢瑟福德 乔治·里弗斯 弗莱德·克莱恩 海蒂·麦克丹尼尔斯 奥斯卡·波尔克 巴特弗莱·麦昆 维克托·乔里 埃弗雷特·布朗 霍华德·C·希克曼 艾丽西亚·瑞特 莱斯利·霍华德 兰德·布鲁克斯 卡洛尔·奈 劳拉·霍普·克鲁斯 埃迪·安德森 哈里·达文波特 利昂娜·罗伯特 简·达威尔 欧娜·满森 保罗·赫斯特 伊莎贝尔·朱尔 卡米·金·肯伦 艾瑞克·林登 J·M·克里根 沃德·邦德 莉莲·肯布尔-库珀 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,美国 
28,鬼子来了,剧情 历史 战争 ,姜文 香川照之 袁丁 姜宏波 丛志军 喜子 泽田谦也 李海滨 蔡卫东 陈述 陈莲梅 史健全 陈强 宫路佳具 吴大维 梶冈润一 石山雄大 述平 姜武 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,中国大陆 
29,辩护人,剧情 ,宋康昊 吴达洙 金英爱 郭度沅 任时完 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,韩国 
30,小鞋子,剧情 家庭 儿童 ,Amir Farrokh Hashemian 默罕默德·阿米尔·纳吉 Bahare Seddiqi Nafise Jafar-Mohammadi Fereshte Sarabandi ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,伊朗 
31,摩登时代,喜剧 剧情 爱情 ,查理·卓别林 宝莲·高黛 亨利·伯格曼 Tiny Sandford 切斯特·康克林 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg,美国 
32,七武士,动作 冒险 剧情 ,三船敏郎 志村乔 稻叶义男 宫口精二 千秋实 加东大介 木村功 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg,日本 
33,东京物语,剧情 家庭 ,笠智众 原节子 杉村春子 东山千荣子 山村聪 香川京子 ,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832390.jpg,日本 
